entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
		1.6	well, i'll make my comment an answer: use rainwater for your plants (but please, do not drink unfiltered).	if water goes down in sometime then you don't need to do anything.
		1.2	i haven't tried this, but i've heard summer squash makes a good substitute as well.	i managed to find this recipe, i think this is where i got the idea.
		0.2	in the last several months since this question was posted, e-books have surpassed hardback books in total sales volume.	first get some close friends, preferably a variety of types of people, to read it and give you feedback.
		0.6	most dancefloor lights are tungsten, so unless you're using flash you should be okay with that.	i shoot in raw on auto-wb, and then adjust to taste in the raw processor.
		2.4	"you're just smelling the fresh shredded bark, it's still got the oils in it that give it ""that mulchy smell""."	mulch is just a general term meaning materials applied to the top of the soil around plants, usually.
		0.6	if non-human animals do have intelligence too, why is their intelligence not as advanced as humans?	your own theory is bad because it seems to follow from a lamarkian interpretation of evolutionary theory.
		1.8	it all really depends on what kind of running you are doing.	i have run 8 marathons and the first 4 i did using traditional programs that involved 5 or 6 days a week of running.
		4.2	you definitely do not want to be supporting your weight with your arms on the bike for normal riding.	no, don't support your weight on your arms your hands simply aren't really made for supporting all that weight.
		0	true story: a bottle of wine (well, maybe just half a bottle).	second, i try to process 10 or so exams before actually marking any of them.
		0.8	"if ""100k"" and ""50k"" are word-counts (and in this context, that's certainly what i'd expect), that's ""novella"" (for ~50k words) up to ""novel-length"" (at 100k words)."	the standard initial market for a short story is a literary magazine.
		1	chinon ceii that my dad gave me as a student.	a nikon em, sort of a point-and-shoot beginner's slr, that i got in high school (way back when ... mid 80s?).
		1.4	i had a problem with grinding my teeth when i was young.	relaxation exercises before bed can help as well as holding a cork in the front teeth for 1 minute before bed.
		0	here is an example of philosophy helping a breakthrough in mathematics (in differential topology).	do we expect musicians to have contributed to the state of the art of quantity surveying in the last 20 years?
		0.6	i disagree with josh bruce on some of his tips.	research does indicate that sleeping after studying is a pretty good rule-of-thumb.
		1.2	it is the immune system that is responsible for inflammatory responses.	getting proper nutrients is essential to maintaining a healthy immune system.
		0.8	in addition to reading, flash cards are also  a great way to increase vocabulary.	nouns are great, but it's also important to include other parts of speech (adverbs, adjectives, etc.).
		0	well, i've searched for this for a good long while.	there is some discussion on flickr here aps: advanced photo system.
		2.2	"in standard english, i think ""don't got"" has the same register as ""ain't""."	i'd say the expression i don't got... is generally rare in spoken ame.
		1.8	as adjective, the noad defines yearling as having lived or existed for a year; a year old.	"in the context of stackexchange, ""yearling"" could be issued 12 months from when the account was opened."
		1.2	lay a circle of artificial lawn in its place, then put the pool on top of that next summer.	"i don't think there is a solution to ""helping the lawn recover"" because in this case it is completely dead."
		3	"back in the day, ""cable"" was used to describe communications sent abroad."	"the word ""cable"" has its origins in the days of the telegraph."
		1.2	rommel's men were not accused of war crimes and he regularly ignored orders to execute captured jewish soldiers and civilians.	erwin rommel - the devil's general the spiegel has released a good up to date point of view about nazi rommel (01.
		3	i tried listening to music also, but after some time your ears get hurt and that's disturbing.	from my experience the noise-cancelling headphones will not work for longer periods.
		1.8	biological neural networks : it refers to our brain neural activities.	artificial neural networks (anns) are mathematical constructs, originally designed to approximate biological neurons.
		0	we've camped for a month (4 adults/no kids), no tv, no phone, no radio or power & one water spigot.	tie the end of the yarn to the bottom-most thread of the warp.
		2.2	i wouldn't recommend keeping the giant gourami with any of the fish you have in tank 2.	going by your pictures, no, you can't combine these fish.
		0.8	from 1979 to 1999, pluto was the eighth planet from the sun.	no, pluto is a so called resonant trans-neptunian object; the orbital period of pluto is almost exactly 3:2 (1.5) times that of neptune.
		1	yes it is technically possible that a buk system shot down the plane.	this is a vice news clip of a ukrainian military an-26 transport shot down a few days before mh-17.
		0	most modern baby monitors use digital transmission (most often the dect standard).	the simplistic answer is to buy two from different manufacturers.
		2.8	english works everywhere with people buying and selling things and in the hospitality and tourism busniness.	i traveled around maharashtra (including mumbai) and andhra pradesh and i had no problem getting by with just english.
		0.8	the two insects that i know of which would do this are leaf cutter bees and flea beetles.	as they've been causing so much havoc, i've been doing more research and found out that they're not bean beetles.
		0	no - distances between objects get larger, but galaxies and clusters are dominated locally by gravity.	ummm this question made me think about a lecture from my teacher.
		0.2	as mentioned in other answers, it will depend on the type of your backpack.	i have gone through three pairs, two without the toe strap, and one with.
		0	there's a good essay by malinda lo on the process.	first thing you want to do is find a neutral beta reader.
		0.6	there's no benefit in installing it low other than that children (and small adults) will be able to reach it.	i have two and they are mounted just below my hip.
		2.8	in russian, for example, animacy is not clear-cut in the distinction animate/inanimate.	as in russian, polish marks animate masculine nouns by having a genitive-accusative vs. the nominative-accusative of inanimate masculines.
		1.2	this varies depending on which logical system you're working in.	a syntactic proposition can be evaluated to be correct or not semantically via truth tables.
		0.8	i don't bracket with digital unless i'm blending multiple exposures to get greater dynamic range.	i highly recommend building into your gestalt a certain bat sense about when to use bracketing.
		3	yes, absolutely - the receiving player must allow the ball to bounce before returning the serve - or any shot, actually.	yes, the receiver needs to wait until the ball touches his playing area, otherwise it counts as being obstructed.
		2.4	nearly any cover you buy or build will allow enough air to circulate.	covers are also there to prevent things from getting in.
		4	is it possible for a match to get tie even after applying d/l method?	yes, it's possible for a match to get tie after applying the d/l method.
		1	the british tried a large scale amphibious landing during ww1 (1915) at galipoli.	britain didn't use their navy because ships don't work on land.
		0.4	dr julin jaynes speculates in his book; the origin of consciousness in the break down of the bicameral mind.	this is a great question which calls into discussion the nature of groups at all.
		1.2	when you sit in a car, and you suddenly brake, you feel the change in velocity.	if you're big enough and fluid enough, like an atmosphere, you would feel acceleration do to the earth's motion.
		0	i gave this a lot of thought a few years ago and came up with a test.	i take the google quote to be a jab at russia in terms of homosexuality.
		0.8	you have two items to consider: what makes a person likable, and why you would sympathize with someone.	there's a number of movies that feature criminals that are either the protagonist or a likeable character in some way.
		0.2	i visit az every summer and include some hikes in the desert when i'm there.	apart from what has been said, your need of water also depends on what you eat.
		0	death penalty is a punishment, (in theory) reserved for the most heinous of crimes.	the way you stated your question, i'm not entirely clear what you are asking.
		1.4	the following is a synopsis and explanation of common beliefs the libertarian free market philosophy.	even the largest corporations (e.g., walmart) are subject to competition, which is a key component of the libertarian philosophy.
		0.2	it seems you don't understand the difference between morphology and phonology and therefore, the difference between morphemes and phonemes.	'orthographically similar' might be another term you can use, meaning 'spelled similarly'.
		1.8	although you could fix this problem in lightroom with reasonable results, you can fix it when taking the picture.	the old way of solving this problem, i mean before digital post-processing, was to apply foundation cosmetics on the model face.
		0.2	i'm not sure the article really covers the economic aspects.	this is just the beginning of an answer, based on what i've read so far.
		0.8	"the strength training classic ""super squats"" recommends a gallon a day."	the answer depends on what your overall goals are, and what you are doing with your training.
		0	there is not really anything you can do besides being a witness; just try to get over it.	i have not noticed my other family members having the same degree of sensitivity.
		0.8	the first rule, as usual, is: what is expected of you?	"i always view ""we"" as ""you and the reader"" and you and your reader journey through the subject together."
		1	i recently stumbled on a great article that talks about protein consumption for the purposes of building muscle (recovery included).	low reps with high weights don't add mass because the duration of the exercise is kept short.
		0.4	in this answer i went through the math on figuring out how far fish fertilizer goes.	"application is 1/2"" gallon per 1000 sq ft. 0.3 acre is 13,000 square feet for 6 1/2"" gallons of solution."
		1.4	scientists studying the matter generally believe multitasking, and women's superiority at it, to be a myth.	i like to think of multitasking as rapid task switching.
		0.4	if you have children with you, you will have no worries about keeping yourself busy, you'll be plenty busy.	my favorite fireside activity is my family's version of 20 questions.
		1	generally you want signs to be simple between a pitcher and a catcher.	the pitcher has the final decision, since he is the one throwing the pitch.
		0.6	if the number of fours hit by two teams are also equal then both teams will get 1 point each.	this is the rule if the runs scored by two teams in super over is equal...
		0.8	the federal reserve has been conducting open market operations for many decades; the law was passed in 1913.	can the fed choose not to claim securities that they are holding, that are due?
		0.4	you indicate in your comments that your hamster does not have hay.	you can't expect your pet to keep mum if you are not with him.
		0.4	you used the generic term in your question ('i have a transaction') so use it: 'transaction'.	maybe solvency or a related term could convey what you intend?
		0.4	i assume your child is also being addressed by someone else in english?	personally, i feel the volume of words is more important, than the diversity, at least early on.
		1	my advice would be to write your second novel, and then maybe even a third, before doing anything else.	in the last several months since this question was posted, e-books have surpassed hardback books in total sales volume.
		1.2	i wouldn't buy an ultralight tent if you're going to put the tent through severe trauma or require significant space (e.g.	i have bought the copper spur 3 and slept in it now on a cottage lawn and on a backcountry campsite.
		2.8	i'd suggest you look to the constructions of the native language(s) of your students.	as bikeboy389 said, you can learn a lot by looking at students' native languages.
		0.2	the doctor says in a good man goes to war that it must've happened 'before america'.	it was before the season began because amy saw the woman before the silence took her.
		0.4	i don't think you can find a consistent distiction across philosophers.	i have long pondered this question specifically in reference to mathematics.
		1.2	(2006) provide the most comprehensive overview of models in this domain.	diederich & busemeyer (2003) presented a diffusion model for three choice alternatives (p. 314).
		2	one piece of advice i've seen is to use bait to lure the snails out, and then physically remove them.	you might consider adding a few assassin snails to the tank.
		0	in most of the cases, you can do that (specially in western europe).	you can also book your train tickets in the netherlands (nshispeed), belgium (b-rail) and france (sncf) online.
		0	in structural terms, the second sentence isn't incorrect, you just read it incorrectly.	as the t isn't mentioned in the part of fever(x), we can push it inside.
		1.4	since we don't drink alcohol at home, i don't ever have real wine at home.	you can replace the moisture provided by wine with just about any flavorful liquid, but you won't replicate the flavor.
		0	i agree with the other answer that this is a normal occurrence.	depending on which country you are talking about, there may be league tables for the universities in that country.
		1.8	there is one airline, spirit airlines, which is trying to copy ryanair with super cheap tickets and aggressively bad service.	there are a few airlines which operate flights at lower fares.
		0.2	the university constituencies are modelled on the university constituencies in use in britain in 1922 when ireland became independent.	this is still a representational form of gov't, but with a unique twist.
		0	further to earlier answers, the information given so far is bit vague and so might mislead.	the nearest cambodian town is stung treng, and the border is a 90-minute speedboat or bus ride away.
		0.2	first they will absorb water so the cooking will be different, if only for a reduced time.	one reason is to remove some of the indigestible complex sugars that cause gas.
		0.6	here are many samples: pbase.com out of the 16k photos there, i'm sure some are with a d700.	it's a 1:1 lens, so that means that the size of the subject will be the same size on the sensor.
		1	it is normal for a cat to get upset if an unfamiliar creature passes 'their' lawn/street/window.	you could try installing a privacy film on your windows.
		1.4	i have never read anything that said teethers were bad--where did you read that?	we used a clean cloth or baby sock wrapped around an ice cube with our kids and grandkids.
		1.8	looking in some dictionaries, it seems there is no such word.	i don't know of an adjective form of integrity, so i can't solve your issue directly.
		1.8	i have a few nikon lenses, and a sigma 10-20mm for super-wide shots.	if your interest is primarily the optics, you need to look at individual lenses, not brands as a whole.
		0.4	couscous is one of the best sources of carbohydrate i've found.	for pure calorific content, you cant beat kendall mint cake.
		2.2	i have a standing/sitting desk at work and really like it.	as mentioned by other responders, it turns out that using a standing desk isn't necessarily a perfect solution.
		1.8	stocking is very subjective to the specific inhabitants as well as the setup and your aquarium experience.	you'll always want to add fish into a tank slowly.
		0.6	pick them as soon as they are as ripe as you want them.	i live in delaware and have already harvested my jalapeno and chili peppers.
		0.6	i had a bedtime routine and followed a 3 hour cycle for my infant (at the time newborn).	we abandoned swaddling at 4 weeks because our son would scream and thrash when being swaddled.
		0	imsodin's answer is good and covers a lot of good points.	i am not entirely sure, but i think you are referring to boots like the la sportiva nepal.
		2.4	reid is right - that vr does not help at all in stopping motion.	completely agree with reid... in this situation a fast prime is the way to go.
		0.8	structured procrastination gives some amazing tipps to trick yourself into doing something.	one of the great ways when working on large tasks is to break it in manageable bits.
		1.2	copyright laws tend to be similar everywhere, because most countries adhere to the berne convention.	i post a copyright notice on things i publish/blog on the internet.
		0	my assumption is that tsa is concerned about what could be concealed within the liquid.	when you're making rules like this, simplicity and objectivity are vital.
		0.6	i don't think 'actually' is particularly casual, and i agree with dale emery that the other words have different meanings.	the intention of the reviewer seems to be to avoid words that may reflect personal opinion.
		1.4	a more expensive option is a remote trigger like the wireless pocket wizards and the cable for your camera.	i am very happy with the phottix plato it is a wireless solution that is cost effective.
		0.8	most people don't know how to use whom and get it entirely wrong, but that doesn't mean it's archaic.	in my opinion, it depends entirely upon the intended audience.
		1.2	"forget for a moment that you ever learned anything about so-called ""complex"" or ""imaginary"" numbers."	as others have already mentioned, numbers are of course abstractions.
		2.6	you need to be embedding a color profile in you image, as also using a browser that supports color management.	in my experience, when the final production will be in srgb, use that color profile from start to finish.
		1.2	@jeromy anglim: i'm actually creating a serial response time task (a widely used learning task) for the ipad now.	fingerfriendlysoft has created an app for all ios devices (that is, ipod touch, iphone and ipad) that is called n-back suite.
		2.4	"the terminology is usually called ""destructive vs non destructive"" editing."	lossless / nondestructive edits are reversible and would entail transforming and/or appending the data in a way that could be reversed.
		0.4	in modern evolutionary biology, teleology is considered to be an irrelevant explanation for what caused things to be.	this is a huge question actually and one of considerable current research.
		1	i was taught to sift then measure, and to scrape the excess off with a knife.	as others have said, you're essentially screwed if you're using volume to measure flour.
		0	matt davis provides a useful summary related to this meme.	i couldn't read the first and not the second much either.
		0.6	apart from batting out of order, the answer is no.	there is no appeal, and a pitch is made to abel.
		0	edit, again: the question seems to have changed, yet again.	i can think of three reasons why a faculty member might reveal how a student performed on a qualifying examination.
		0	i think what many archetype systems use as a base point (consciously or unconsciously) is the enneagram of personality.	i would suggest some of the pickup artist material that has been written over the past five years.
		0	avoid you may think that this drink is only 100 calories.	hard to answer outside the context of your whole program.
		0	i just found a page that has some information about this.	hold your camera close to your body... stand with your elbows bent and your arms against your sides.
		0.2	i can think of three key factors that are quite logical conjectures.	there have been quite a few studies in football/soccer discussing home field advantage.
		0	i would think of this as a gift that your son has.	quite simply: stop doing it, stop letting the siblings and grandparents do it.
		1.4	if you round your back when bending over and touching the ground, you're taking the hamstrings out of the equation.	it appears you are flexible enough and your hamstrings don't need additional stretching.
		0	the question can be explored in terms of n-ellipsis (noun ellipsis, also known as np-ellipsis).	i agree with thomas that the situation in english and in german is not the same.
		1.4	in my very personal opinion mdpi is an reputable publisher, but their journals are not first-class.	the peer review process generally differs between predatory and non predatory journals.
		0.6	cut the suckers at the lowest point to can get near the roots to control the growth of each sucker.	"plants that are thinned to 4"" can fit 9 in a square foot."
		3.2	although cheese is very healthy and also good during pregnancy, some types might contain listeria, which can cause serious problems.	as was mentioned, the problem with cheese is the potential for listeria.
		1.2	i was in a situation where i had to mail in my passport for a visa - no problems for me.	travellers from many countries don't face this experience due to visa-free / visa-on-arrival arrangements.
		2.6	if you're doing a full body workout 6 days a week, you absolutely need the rest week.	there are both physiological and neurological reasons to build in rest.
		0.8	i would say the best thing for me is to have a proper and consistent sleep schedule.	there's also freakyalarm for ios, which makes you solve simple logic/math problems before the alarm will turn off.
		1.8	i can only think of context using insofar as or insofar that.	the form insofar is american english; the standard form in british and other english is 'in so far'.
		0.6	i would also highly recommend to add chin-ups as an additional exercise.	given the additional information you've posted, it sounds like you are simply hitting a wall.
		0	so, i will tailor my response to your comment to chaosandorder.	modal logic is an extension of classic propositional and predicate logic that allows the use of modal operators.
		0.2	domestically, you start at the club level and work your way through the ranks.	as an umpire for cricket you are responsible for the calling of many intricate rules of the game.
		1.6	i've started my own tool since i didn't like ywriter and storybook.	i've tried many of the things mentioned above, but they never really worked for me.
		0	only one way you could increase the count just try to add one count more everyday.	this summary article gives a good review of the mechanics of recovery and some plausible guidelines on training frequency.
		0	i'm afraid this is wishful thinking on the part of some instructor.	as others have pointed out, it seems that you probably meant to discuss homo*phones*, and i'll proceed on that assumption.
		0.2	to answer your question, yes, this is a design issue.	in answer to another question of mine, matt grum left a couple links that describe focus shift.
		1.8	one way would be to go through an adventure travel company that offers trips in the region.	i recommend you to go with a local guide instead of an international one.
		0.2	answers to 1b: depending where you go, you can use fon.	in europe you still need a separate sim for every country (unfortunately).
		0.4	any number of new metrics can be introduced to predict the winning percentages.	goal.com had a table on how much refs get paid in the top leagues in europe from around 2011.
		1.66666666666667	i think it predominately depends on how you are accessing the other university's resources.	i would not explicitly acknowledge people who have helped you access papers that you don't have access to.
		1	he doesn't is correct, because it is the contraction of he does not.	in most cases when this happens the person is really a non-native english speaker as you said.
		0.2	currently, no such high-level maps based directly on human cortex exist (as far as i can tell).	you might be very interested in a paper by felleman and van essen (1991).
		0	(storage note: do not wash the bulbs before storing them; place in plastic bag in the refrigerator.	you can peel it and slice it, add some lemon and salt and eat it raw as a fresh salad.
		2	"language can ""improve"" over time as well as ""just changing""."	"""are modern languages in any non-arbitrary way superior to ancient languages, e.g."
		0.2	they could, on the other hand, more easily extend their own raw format(s).	there is something particularly conceptually wrong with throwing away the stuff that comes out of your camera.
		0.6	on more than one occasion, having forgotten deet, we have just rubbed down with raw garlic.	i've heard good things about badger balm protecting from biting bugs.
		0.4	i am from hungary and i looked for hungarian source of poland, polish and other keywords on jobbik website.	all translations mistakes are mine, so don't judge the sources based on possibly poor use of english.
		1.8	the difficulty arises not from the various linguistic properties of the language pair as many here suggest.	it depends on generally syntactic structure of two languages and -yes- some pragmatic issues.
		0	it may be worth trying one of the artificial pheromone sprays.	you could always close or add curtains to the windows.
		0.2	first, constantly reassure her that she has nothing to fear.	a) as soon as he can count, add and subtract; b) when he spends significant time outside home without parents.
		0	you definitely can do it, and it is fine where you have clean, dry climbing surfaces.	its way easier in the gym to go bare foot.
		0.8	what i mean to say is, how are the characteristics of event horizon related to space-time?	depends on how the angular momentum (that manifests itself as earth's rotation) would be absorbed.
		0	you can jumble the characters of the existing species names.	reading up on the effects of various pyschoactive drugs might help.
		0	you should check the conditions of your journal using the sherpa/romeo list.	you should read the copyright transfer contract that you have signed.
		0	light may account for a small portion of dark matter, but it is unlikely to account for most/all of it.	in addition to @mbr's answer; there are other (less confusing) ways to represent the data.
		0.6	also it is more likely to get a jet bridge when traveling with the local airline.	some airport only use buses for specific types of flights, often involving smaller planes.
		0.4	i would abbreviate your degrees; chances are your audience will understand them.	"rather than ""deployed"": helped to launch i've no idea what an ""enterprise application"" is, so perhaps that could be rephrased."
		0	i'm writing here a few tips that can help you with motivation.	"you are incorrect when you say these aren't ""important"" when in reality it is important since it annoys you."
		0.4	i'll start with the archetypical story of the type: troy.	the archimedes heat ray seems to be a good example.
		0	the farther away, the faster the galaxies move away from us.	here is my answer to a similar question posted on the physics stack exchange website.
		0	this recent nature news item would seem to suggest rather strongly that scirp is not a serious outfit.	yes, i  do indeed have some direct experience with them.
		2.6	i don't have direct experience with bettas, but i've never heard that pairs will work long-term in any male/female combination.	bettas are highly territorial and no matter what sexes you keep together they will fight.
		0.2	there's a mythical creature called a namazu - a giant catfish.	hayao miyazaki is known for his fairy tale styled movies.
		0.6	space, as we experience it, is simply three-dimensional euklidean (flat) space.	particle like, molecule or atoms or any smallest particle behaves differently in different environment.
		4.4	"pardon the brevity of this answer, but i would say ""named"" is preferred within the context of your example."	named is preferred in your example, since you are formally giving a name to your method.
		1.6	there were indeed some serious issues surrounding kennedy's election in 1960, one of the closest elections in history.	as per your original question: the  wikipedia section does not claim that joseph p kennedy bought john f kennedy's victory.
		0.2	there is one difference between this question and the invisible man question.	if you look closely either with eyes or sensors you can observe a disruption where the ship is.
		0.6	this post refers to research in the stem fields, and may not be applicable to other research topics.	this is about my experience in computer engineering i found that reading for breadth was the more important approach.
		1.6	this is a tough question to answer and requires a lot more information about body mechanics than i have.	movement is actually an essential part of maintenance and recovery.
		0	inflation is caused by money supply growing faster than the rate of economic growth.	the standard terms of left and right politics originate from the seating arrangement of the french national assembly of 1789.
		1.4	what's the best way to make corrections to a published paper?	journals oftentimes make their procedures regarding varying types of corrections available on their website (e.g., nature).
		1.4	"in the u.s., ""buffalo"" and ""bison"" are used interchangeably for the species bison bison (latin name)."	to my knowledge, they are all separate species within the bovini genus.
		0	i'm using your example, because another example would lead to a different interpretation.	i would like to add a bit of terminology to @what's answer.
		0.6	"in the book ""six impossible things before breakfast: the evolutionary origins of belief"", wolpert (2007) discusses the evolutionary origins of belief."	"i think this is slightly tautologous, because we all turn to ""belief"" to explain the things that we don't understand."
		1.4	i've never put oil on spaghetti's water and i've never seen anyone doing it here in italy.	in my opinion, all else being equal, italian style water-boiled pasta tastes bland.
		0.6	this trip, i stayed in sapporo, zao onsen, sendai, and a few nights in tokyo.	wasn't aware of any discrimination what so ever when i traveled in japan.
		2.8	turtles love eating goldfish and lots of things that fit into their mouths.	first, the turtles are eating the fish because fish are food, not friends.
		1.2	to make a tactical vote, you need an estimate how much votes each candidate is probably going to get.	let us first ask what are the implications of tactical voting?
		1	i believe it depends on whether you are trying to be personable or professional.	using third person offers the benefit, that the profile can be used by other persons referring to you.
		0.2	doing outstanding research is what ultimately matters, not the rank of the university.	i don't entirely disagree with the two previous answers: taking the offer you have now may be a fine choice.
		1.4	perhaps the easiest thing to do would be to keep more balanced snacks readily available.	i had a similar problem with my daughter (i called her the carb junkie).
		0.4	the entire social contract tradition on which most modern forms of government are based depends on equality of certain rights.	many times we judge the plausibility of a theory based on it's outcomes.
		2	it is not completely true that failures are not published.	one of the consequences of not reporting failures is publication bias.
		1	one common tense i error i have noticed has to do with the verb to be.	"strictly speaking, ""might"" is the simple past tense of ""may""."
		1.2	the antibiotics should hopefully help keep the itching down, so that he won't scratch at it.	so the vet assumed it was some kind of infection, though she seemed a bit clueless.
		1.4	the number one thing you can do is train with a coach who knows about good running form.	assuming you are reasonably fit, the best way to improve your running technique is to run faster.
		0	thinking on your feet is an essential skill for combat soldiers.	mostly it's about getting over your fear of answering incorrectly.
		2	while queen may refer to both queen regent (sovereign) or queen consort, the king has always been the sovereign.	"there is a very good reason not to refer to the queen's spouse as ""king"" - because they aren't the king."
		1.6	let us assume the data for a globular cluster to be equivalent to that of m13.	globular clusters occupy an interesting place in the spectrum of composite stellar systems.
		1.4	interpreting infinity=0 mathematically is problematic for reasons that niel de beaudrap outlined.	yes, there is at least one philosophical idea that addresses the uniqueness of existence, infinity coming out from one (see e.g.
		1.2	the interface between acr and photoshop has changed a couple of times over the years.	adobe in their wisdom decided to force you to upgrade photoshop if you splash out on a new camera model.
		2	there are two types of left arm spin bowlers, chinaman and orthodox.	a right handed off spinner bowls exactly the same ball as a chinaman (i.e.
		0	needing multiple levels of tasks seem more like project management.	wunderlist has local programs and a web only version that also has apps available (ios and android).
		1.4	"""setup"" is noun, not a verb, so you wouldn't ""setup something""."	"both ""set up something"" and ""set something up"" are perfectly correct english, as ""set up"" is a phrasal verb."
		0.6	my 13 month old son has been transfixed by the tv since day 1.	some of the other answers seem to address older children.
		2.2	i use a trackball mouse controlled by thumb, so my experience may be different.	i used a kensington pro mouse ($120 at the time) for about 8 years until it croaked a few months ago.
		0	i go brainstorming by mapping out different scenes on a page, and trying to connect them.	the most reductionist view of a plot is: equilibrium > disturbance > equilibrium.
		2.2	"a person would only actually say ""quote"" and ""end quote"" if they were trying to be clever or different."	"when reading a book aloud for recorded books, the reader never says ""quote / unquote""."
		0	i work in a quite technical field, that my wife knows nothing about.	"i think the problem lies with the term ""some concept""."
		0.6	i know for a fact that sucking the lower lip does cause a bulging misshaped blob on the lower lip.	i can't scientifically debunk the myth you mention, but i've never heard of it and i don't think it's true.
		0.6	i really love the new balance mo10 (w010 for the women's model).	i made a soft moccasin and put them over my shoes.
		0.2	warmth -- this is after all why you are buying the bag.	the key factors are going to vary from person to person.
		0.8	i've only been to a couple of different places, but hobbiton was pretty cool and i'd definitely recommend it.	on trip advisor i think the highest rated in is twizel, largest location in nz and is gondor.
		2.2	the aspca website has an exhaustive list of toxic and non-toxic plants for dogs, cats, and horses.	i would say, unless you know it is safe for cats assume it to be poisonous.
		1	the answer will depend significantly on what country you're traveling to.	as someone who has always travelled with a lot of prescription medication, i always declare it.
		1	this is an example where prescriptive grammar fails us (in practice i mean).	i don't think anyone would word the sentence in the examples provided.
		0.6	so far this delivery has been used for well over a hundred years.	doosra and teesra, both these bowling techniques were invented to deceive the batsman.
		1.2	the seedings are based on the rankings of the each of the participating nation at the cut off point.	"ten of the teams in the icc twenty20 cricket world cup are ""seeded"" teams."
		0.4	in my field a peer reviewed article counts for a lot more than a chapter in an edited book.	like a lot of things in academia, i think this will heavily depend on what discipline you're in.
		0.6	the programs i am aware of that you could use do require some programming expertise to operate.	yes, there is are two python modules called astropy, and astropysics that both claim to have spectral analysis tools.
		2.4	what folders you need depends a bit on your email client's capabilities, and how you want to work.	just your inbox and one other folder for holding emails until they are to be acted upon.
		0.2	it's a crutch if you don't make it solid enough to stand on it's own.	i know many people who started out writing fanfiction and then turned this into the basis of a professional career.
		1.2	i've found that usually when i'm being introverted or quiet it's because i'm thinking mostly about myself.	i think it's better to forget you're an introvert or the word introvert.
		0.4	i've come across two great, and very different, types of steak.	thin layer of olive oil on the crust before you add the sauce.
		2	i agree with the new world statement, classes are something inherited from kingships, like the nobility is the highest class.	even if somebody can rise to height, does not make a society classless.
		0.8	i'll just mention that you are not likely to experience any problems in crossing the us/canada border by car.	the car rental cost only for the compact was quoted as $789.
		0	"i think you mean to ask, ""what is the local sidereal time of greenwhich?""."	right ascension is a celestial coordinate, not a terrestrial one.
		0.6	this is an alderson disk and has been featured in godwheel.	it could be pratchett, he has written stories other than those in discworld; one of them is strata.
		0.4	this line of thought has a rich tradition in philosophy.	no, i don't think it is wise to see emotions and intelligence as algorithms.
		0.6	there are several safeguards against the chancellor - or any other part of the government - acquiring too great powers.	i can offer some points of the constitution that i remebember beeing implemented esp.
		2	definitely shoot in av (aperture value) mode and vary the shutter speed!	well part of sunset photography is luck with the elements.
		0.6	we know that the puppeteer homeworld achieved 3% of the speed of light in 8 years, according to juggler of worlds.	how close to the ringworld was the fleet of worlds?
		1.8	we never gave our foster pup (who loves to chew) rawhides because we've heard that they're dangerous if they splinter.	in my experience the benefits of chewing raw or smoked bones far outweigh the draw backs.
		0	use a high speed page feed scanner like the dr-2010c from canon.	another suggestion: wait until you have money to throw at the problem.
		1.6	so how do you improve your productivity as a programmer?	http://www.topcoder.com - this is a good site to understand where we stand as developers.
		0.2	something people in germany do to get rid of moles is to bury empty bottles (e.g.	you did the right thing in hiring a professional with local expertise.
		0	art is obsession, and how well (or badly) it's dealt with seems to fascinate artists.	eudora welty's one wrtier's beginnings weaves together in an absolutely lovely way the story of her journey as a writer.
		0	there are conflicting philosophies and approaches to this (and frankly, no good or clear answer).	trying to look at 'all of humanity' or 'what's best for germany' aren't useful questions.
		0.6	i believe your confusion is from combining two popular simplifications of our universe.	the surface of the 4-dimensional ball (called 3-sphere) is a slice through the universe as a whole for a fixed cosmic time.
		0.2	"hal (""hyper archive en ligne"") is a french open archive repository that covers all fields."	figshare is a rather new service (compared to arxiv) that is just starting to gain momentum.
		1.33333333333333	i have the 35mm 1.8 and the 50mm 1.4 - and for people wanting thier 1st fixed prime i always point them at the 35mm 1.8 1st.	only when we consider all these factors do we come up with a 'normal' focal length value of about 50mm.
		0	the japanese case marker =ga (a post-clitic), was not originally a subject marker.	first, i am going to address tangurena's answer (i don't have enough reputation to add a comment).
		1	with some help from rocío, i have found a fairly useful resource (in the bibliography of greenberg).	when writing my dissertation about language and identity i found these two references: bugarski, r. (1997).
		0.8	i haven't read it myself, but i've heard good things about delacampagne.	"there is ""philosophy in the twentieth century"" by alfred ayer which is quite good."
		0	the man in the top right corner is philip ii of macedon.	the declaration of independence of the usa is be a candidate.
		0.8	in order to avoid the tourist traps, someone in your party needs to speak the language.	for travelling to nepal, this will provides you in detail about money exchanging.
		0.8	"regarding romanian's history: it's a member of the eastern romance (sensu strictu) subfamily or the ""vlach"" languages."	one possibility is because of its relative isolation from the other latin-based languages.
		0.4	glad to hear you've started playing hockey, its a great sport!	a general rule of thumb is every 5-6 hours of skating.
		2.8	at the highest level, a pace setter helps ensure they meet their game plan for the race exactly.	from personal experience i found that a pace setter to be incredibly helpful.
		0	i wouldn't worry too much about what exactly you've got.	add garden lime or even gypsum, mixing it in a bit.
		0	in a roundabout way, there's some truth to that statement, though it's a bit more nuanced than that.	what your friend told you likely stems from comments made by our current attorney genrral, eric holder.
